,Item,Quantity,Price Per Unit,Total Spent
210,Smoothie,5,4.0,20.0
215,Salad,4,5.0,20.0
217,Salad,1,5.0,5.0
218,Juice,1,3.0,3.0
219,Salad,1,5.0,5.0
220,Coffee,4,2.0,8.0
221,Cake,3,3.0,9.0
222,Cookie,2,1.0,2.0
223,Salad,2,5.0,10.0
224,Cookie,1,1.0,1.0
225,Salad,1,5.0,5.0
226,Cookie,5,1.0,5.0
229,Cake,5,3.0,15.0
230,Salad,1,5.0,5.0
231,Cake,4,3.0,12.0
232,Tea,3,1.5,4.5
233,Cake,4,3.0,12.0
234,Smoothie,1,4.0,4.0
237,Coffee,4,2.0,8.0
240,Juice,4,3.0,12.0
242,Tea,3,1.5,4.5
243,Coffee,4,2.0,8.0
244,Sandwich,3,4.0,12.0
245,Juice,2,3.0,6.0
246,Tea,2,1.5,3.0
248,Cake,2,3.0,6.0
250,Juice,2,3.0,6.0
251,Salad,3,5.0,15.0
252,Cookie,5,1.0,5.0
254,Salad,1,5.0,5.0
255,Cookie,2,1.0,2.0
256,Smoothie,5,4.0,20.0
257,Sandwich,2,4.0,8.0
260,Sandwich,5,4.0,20.0
261,Salad,2,5.0,10.0
262,Tea,1,1.5,1.5
263,Smoothie,5,4.0,20.0
264,Sandwich,1,4.0,4.0
265,Sandwich,4,4.0,16.0
266,Sandwich,4,4.0,16.0
267,Cake,4,3.0,12.0
268,Cake,5,3.0,15.0
270,Smoothie,5,4.0,20.0
271,Sandwich,3,4.0,12.0
272,Salad,1,5.0,5.0
273,Cookie,1,1.0,1.0
275,Smoothie,1,4.0,4.0
276,Cookie,2,1.0,2.0
277,Smoothie,5,4.0,20.0
279,Cake,1,3.0,3.0
282,Smoothie,1,4.0,4.0
284,Cookie,1,1.0,1.0
285,Sandwich,5,4.0,20.0
286,Juice,5,3.0,15.0
290,Tea,5,1.5,7.5
291,Smoothie,1,4.0,4.0
292,Tea,3,1.5,4.5
293,Coffee,5,2.0,10.0
295,Coffee,3,2.0,6.0
296,Juice,1,3.0,3.0
297,Cake,3,3.0,9.0
298,Smoothie,1,4.0,4.0
300,Tea,2,1.5,3.0
301,Smoothie,3,4.0,12.0
302,Coffee,2,2.0,4.0
303,Tea,3,1.5,4.5
304,Sandwich,3,4.0,12.0
305,Salad,3,5.0,15.0
306,Cookie,1,1.0,1.0
307,Smoothie,3,4.0,12.0
308,Cookie,4,1.0,4.0
309,Smoothie,2,4.0,8.0
310,Smoothie,2,4.0,8.0
312,Tea,3,1.5,4.5
314,Cookie,1,1.0,1.0
316,Sandwich,3,4.0,12.0
317,Smoothie,3,4.0,12.0
318,Salad,4,5.0,20.0
319,Cookie,3,1.0,3.0
320,Cookie,3,1.0,3.0
321,Cookie,4,1.0,4.0
322,Coffee,5,2.0,10.0
324,Coffee,5,2.0,10.0
325,Coffee,5,2.0,10.0
328,Juice,1,3.0,3.0
329,Sandwich,4,4.0,16.0
330,Salad,5,5.0,25.0
331,Sandwich,3,4.0,12.0
332,Smoothie,5,4.0,20.0
335,Smoothie,2,4.0,8.0
337,Smoothie,2,4.0,8.0
338,Smoothie,2,4.0,8.0
339,Juice,4,3.0,12.0
342,Salad,3,5.0,15.0
344,Cake,1,3.0,3.0
345,Tea,2,1.5,3.0
346,Juice,3,3.0,9.0
347,Cake,1,3.0,3.0
348,Smoothie,1,4.0,4.0
349,Sandwich,5,4.0,20.0
350,Tea,2,1.5,3.0
352,Smoothie,2,4.0,8.0
353,Sandwich,5,4.0,20.0
354,Coffee,3,2.0,6.0
355,Juice,5,3.0,15.0
357,Coffee,3,2.0,6.0
358,Smoothie,4,4.0,16.0
359,Cake,3,3.0,9.0
360,Sandwich,3,4.0,12.0
361,Cookie,4,1.0,4.0
363,Tea,4,1.5,6.0
364,Juice,1,3.0,3.0
365,Tea,2,1.5,3.0
367,Cake,5,3.0,15.0
368,Smoothie,3,4.0,12.0
373,Salad,2,5.0,10.0
374,Cake,3,3.0,9.0
375,Coffee,1,2.0,2.0
377,Cookie,2,1.0,2.0
378,Cake,5,3.0,15.0
379,Cake,5,3.0,15.0
380,Tea,3,1.5,4.5
381,Tea,5,1.5,7.5
382,Cookie,1,1.0,1.0
383,Salad,4,5.0,20.0
384,Salad,1,5.0,5.0
389,Coffee,5,2.0,10.0
390,Tea,5,1.5,7.5
391,Juice,3,3.0,9.0
392,Cake,2,3.0,6.0
393,Tea,2,1.5,3.0
394,Cookie,5,1.0,5.0
395,Cake,1,3.0,3.0
396,Sandwich,5,4.0,20.0
397,Tea,4,1.5,6.0
398,Cookie,1,1.0,1.0
399,Cake,1,3.0,3.0
400,Salad,4,5.0,20.0
401,Coffee,4,2.0,8.0
404,Tea,5,1.5,7.5
408,Tea,4,1.5,6.0
410,Cake,4,3.0,12.0
411,Cookie,2,1.0,2.0
414,Salad,3,5.0,15.0
415,Cake,1,3.0,3.0
416,Coffee,4,2.0,8.0
417,Sandwich,2,4.0,8.0
418,Cookie,5,1.0,5.0
419,Smoothie,5,4.0,20.0
420,Sandwich,1,4.0,4.0
421,Cake,3,3.0,9.0
422,Cake,2,3.0,6.0
423,Coffee,5,2.0,10.0
424,Coffee,5,2.0,10.0
425,Sandwich,2,4.0,8.0
426,Sandwich,3,4.0,12.0
427,Cake,4,3.0,12.0
428,Sandwich,4,4.0,16.0
429,Tea,1,1.5,1.5
430,Sandwich,1,4.0,4.0
431,Tea,2,1.5,3.0
432,Salad,2,5.0,10.0
433,Cake,5,3.0,15.0
435,Sandwich,3,4.0,12.0
436,Juice,5,3.0,15.0
439,Sandwich,2,4.0,8.0
440,Cake,1,3.0,3.0
443,Smoothie,5,4.0,20.0
445,Cookie,3,1.0,3.0
446,Salad,2,5.0,10.0
447,Cake,4,3.0,12.0
448,Tea,4,1.5,6.0
449,Coffee,2,2.0,4.0
451,Sandwich,5,4.0,20.0
453,Tea,4,1.5,6.0
454,Coffee,1,2.0,2.0
455,Juice,2,3.0,6.0
456,Juice,2,3.0,6.0
457,Tea,4,1.5,6.0
458,Sandwich,5,4.0,20.0
460,Cake,3,3.0,9.0
462,Cookie,4,1.0,4.0
463,Smoothie,1,4.0,4.0
464,Coffee,4,2.0,8.0
465,Cake,4,3.0,12.0
466,Sandwich,4,4.0,16.0
467,Salad,1,5.0,5.0
468,Cookie,1,1.0,1.0
469,Sandwich,2,4.0,8.0
470,Sandwich,4,4.0,16.0
471,Coffee,4,2.0,8.0
472,Salad,4,5.0,20.0
473,Juice,5,3.0,15.0
474,Sandwich,5,4.0,20.0
475,Cookie,5,1.0,5.0
477,Cookie,1,1.0,1.0
478,Tea,4,1.5,6.0
480,Cake,1,3.0,3.0
481,Smoothie,5,4.0,20.0
484,Tea,4,1.5,6.0
486,Juice,2,3.0,6.0
487,Cookie,1,1.0,1.0
488,Tea,5,1.5,7.5
489,Sandwich,1,4.0,4.0
490,Cake,5,3.0,15.0
491,Sandwich,4,4.0,16.0
492,Cake,2,3.0,6.0
494,Sandwich,3,4.0,12.0
495,Salad,3,5.0,15.0
496,Salad,2,5.0,10.0
497,Sandwich,2,4.0,8.0
498,Juice,2,3.0,6.0
499,Tea,1,1.5,1.5
500,Cake,3,3.0,9.0
501,Sandwich,3,4.0,12.0
502,Cake,5,3.0,15.0
503,Cookie,5,1.0,5.0
504,Juice,2,3.0,6.0
505,Salad,3,5.0,15.0
506,Smoothie,2,4.0,8.0
508,Sandwich,3,4.0,12.0
509,Cookie,3,1.0,3.0
510,Tea,3,1.5,4.5
512,Cake,2,3.0,6.0
513,Smoothie,5,4.0,20.0
515,Sandwich,4,4.0,16.0
517,Cookie,1,1.0,1.0
518,Smoothie,5,4.0,20.0
519,Juice,2,3.0,6.0
520,Coffee,3,2.0,6.0
521,Tea,2,1.5,3.0
522,Cake,4,3.0,12.0
524,Sandwich,2,4.0,8.0
525,Cookie,3,1.0,3.0
527,Salad,4,5.0,20.0
528,Smoothie,1,4.0,4.0
529,Sandwich,1,4.0,4.0
530,Juice,3,3.0,9.0
531,Cake,2,3.0,6.0
533,Tea,5,1.5,7.5
534,Coffee,1,2.0,2.0
536,Salad,5,5.0,25.0
538,Cookie,4,1.0,4.0
539,Tea,2,1.5,3.0
540,Juice,5,3.0,15.0
541,Sandwich,4,4.0,16.0
542,Sandwich,4,4.0,16.0
544,Tea,3,1.5,4.5
546,Salad,5,5.0,25.0
547,Sandwich,5,4.0,20.0
548,Juice,5,3.0,15.0
549,Salad,1,5.0,5.0
553,Cake,5,3.0,15.0
554,Cake,4,3.0,12.0
556,Sandwich,1,4.0,4.0
557,Salad,5,5.0,25.0
558,Tea,1,1.5,1.5
559,Coffee,4,2.0,8.0
560,Cookie,5,1.0,5.0
561,Smoothie,4,4.0,16.0
563,Sandwich,5,4.0,20.0
564,Coffee,2,2.0,4.0
565,Juice,1,3.0,3.0
566,Cookie,4,1.0,4.0
567,Sandwich,5,4.0,20.0
569,Salad,4,5.0,20.0
570,Salad,5,5.0,25.0
571,Juice,4,3.0,12.0
572,Cookie,1,1.0,1.0
573,Cake,3,3.0,9.0
576,Tea,3,1.5,4.5
577,Smoothie,1,4.0,4.0
578,Smoothie,3,4.0,12.0
579,Salad,2,5.0,10.0
580,Tea,2,1.5,3.0
581,Coffee,1,2.0,2.0
582,Salad,1,5.0,5.0
583,Tea,3,1.5,4.5
584,Sandwich,4,4.0,16.0
585,Smoothie,4,4.0,16.0
586,Juice,3,3.0,9.0
588,Cookie,2,1.0,2.0
590,Tea,2,1.5,3.0
591,Tea,4,1.5,6.0
592,Coffee,3,2.0,6.0
594,Smoothie,2,4.0,8.0
596,Smoothie,3,4.0,12.0
597,Coffee,5,2.0,10.0
598,Cookie,1,1.0,1.0
599,Cake,5,3.0,15.0
600,Salad,4,5.0,20.0
601,Smoothie,3,4.0,12.0
603,Salad,4,5.0,20.0
604,Cookie,2,1.0,2.0
606,Juice,2,3.0,6.0
607,Sandwich,5,4.0,20.0
608,Coffee,1,2.0,2.0
609,Cake,4,3.0,12.0
610,Tea,2,1.5,3.0
611,Cookie,5,1.0,5.0
613,Cake,4,3.0,12.0
614,Cake,5,3.0,15.0
615,Salad,1,5.0,5.0
616,Salad,2,5.0,10.0
619,Juice,5,3.0,15.0
620,Salad,4,5.0,20.0
621,Tea,4,1.5,6.0
622,Salad,2,5.0,10.0
623,Cookie,1,1.0,1.0
624,Salad,4,5.0,20.0
626,Cookie,1,1.0,1.0
628,Tea,2,1.5,3.0
630,Cake,1,3.0,3.0
631,Cake,2,3.0,6.0
632,Cake,5,3.0,15.0
634,Coffee,4,2.0,8.0
635,Cookie,3,1.0,3.0
636,Salad,2,5.0,10.0
637,Juice,5,3.0,15.0
638,Sandwich,2,4.0,8.0
639,Smoothie,1,4.0,4.0
640,Tea,5,1.5,7.5
642,Juice,1,3.0,3.0
644,Sandwich,3,4.0,12.0
646,Smoothie,1,4.0,4.0
649,Tea,4,1.5,6.0
650,Sandwich,3,4.0,12.0
651,Sandwich,5,4.0,20.0
652,Salad,1,5.0,5.0
653,Salad,3,5.0,15.0
654,Cake,3,3.0,9.0
655,Smoothie,2,4.0,8.0
656,Sandwich,5,4.0,20.0
657,Salad,1,5.0,5.0
658,Cake,3,3.0,9.0
659,Salad,5,5.0,25.0
660,Cookie,4,1.0,4.0
662,Tea,2,1.5,3.0
664,Cookie,3,1.0,3.0
665,Cake,3,3.0,9.0
666,Cake,4,3.0,12.0
667,Juice,4,3.0,12.0
668,Cake,1,3.0,3.0
669,Tea,1,1.5,1.5
670,Cookie,1,1.0,1.0
671,Smoothie,3,4.0,12.0
672,Juice,4,3.0,12.0
674,Cake,1,3.0,3.0
675,Salad,4,5.0,20.0
676,Cake,5,3.0,15.0
677,Coffee,3,2.0,6.0
678,Smoothie,5,4.0,20.0
680,Cookie,5,1.0,5.0
682,Cake,1,3.0,3.0
683,Juice,1,3.0,3.0
684,Salad,2,5.0,10.0
685,Coffee,5,2.0,10.0
687,Juice,2,3.0,6.0
689,Salad,2,5.0,10.0
690,Cookie,5,1.0,5.0
691,Salad,3,5.0,15.0
693,Salad,5,5.0,25.0
694,Tea,2,1.5,3.0
695,Sandwich,4,4.0,16.0
696,Coffee,4,2.0,8.0
698,Coffee,2,2.0,4.0
700,Cake,4,3.0,12.0
701,Smoothie,3,4.0,12.0
702,Salad,1,5.0,5.0
703,Juice,1,3.0,3.0
704,Coffee,3,2.0,6.0
705,Smoothie,2,4.0,8.0
706,Salad,3,5.0,15.0
707,Sandwich,3,4.0,12.0
708,Tea,5,1.5,7.5
709,Salad,1,5.0,5.0
710,Tea,5,1.5,7.5
711,Cake,1,3.0,3.0
713,Sandwich,4,4.0,16.0
714,Tea,1,1.5,1.5
715,Salad,3,5.0,15.0
716,Sandwich,1,4.0,4.0
719,Sandwich,1,4.0,4.0
721,Tea,2,1.5,3.0
722,Cookie,1,1.0,1.0
723,Tea,4,1.5,6.0
725,Sandwich,4,4.0,16.0
726,Coffee,1,2.0,2.0
728,Coffee,5,2.0,10.0
729,Cookie,5,1.0,5.0
730,Salad,3,5.0,15.0
731,Coffee,4,2.0,8.0
732,Tea,5,1.5,7.5
733,Sandwich,1,4.0,4.0
735,Coffee,2,2.0,4.0
737,Salad,5,5.0,25.0
739,Juice,1,3.0,3.0
740,Juice,5,3.0,15.0
741,Juice,1,3.0,3.0
742,Smoothie,5,4.0,20.0
744,Salad,5,5.0,25.0
745,Tea,1,1.5,1.5
747,Tea,4,1.5,6.0
748,Coffee,3,2.0,6.0
751,Sandwich,3,4.0,12.0
752,Coffee,2,2.0,4.0
753,Juice,2,3.0,6.0
754,Smoothie,5,4.0,20.0
756,Tea,2,1.5,3.0
758,Smoothie,4,4.0,16.0
760,Tea,5,1.5,7.5
761,Tea,2,1.5,3.0
763,Cookie,5,1.0,5.0
764,Tea,4,1.5,6.0
765,Salad,5,5.0,25.0
766,Tea,4,1.5,6.0
770,Smoothie,1,4.0,4.0
772,Coffee,3,2.0,6.0
773,Cookie,3,1.0,3.0
774,Juice,4,3.0,12.0
775,Salad,5,5.0,25.0
776,Juice,3,3.0,9.0
778,Smoothie,4,4.0,16.0
781,Juice,4,3.0,12.0
783,Juice,3,3.0,9.0
784,Cookie,1,1.0,1.0
785,Salad,3,5.0,15.0
787,Tea,2,1.5,3.0
788,Juice,1,3.0,3.0
789,Cookie,2,1.0,2.0
790,Smoothie,2,4.0,8.0
792,Smoothie,5,4.0,20.0
793,Cookie,4,1.0,4.0
794,Juice,4,3.0,12.0
798,Sandwich,1,4.0,4.0
800,Juice,3,3.0,9.0
803,Sandwich,3,4.0,12.0
804,Cookie,3,1.0,3.0
808,Coffee,3,2.0,6.0
809,Smoothie,3,4.0,12.0
811,Tea,4,1.5,6.0
812,Salad,2,5.0,10.0
813,Coffee,3,2.0,6.0
814,Tea,4,1.5,6.0
816,Juice,5,3.0,15.0
817,Tea,3,1.5,4.5
819,Cookie,1,1.0,1.0
820,Cookie,3,1.0,3.0
822,Juice,5,3.0,15.0
823,Cake,3,3.0,9.0
824,Coffee,1,2.0,2.0
825,Salad,2,5.0,10.0
826,Smoothie,2,4.0,8.0
828,Sandwich,5,4.0,20.0
830,Sandwich,2,4.0,8.0
831,Tea,3,1.5,4.5
835,Sandwich,5,4.0,20.0
836,Cake,4,3.0,12.0
837,Cookie,1,1.0,1.0
838,Coffee,4,2.0,8.0
839,Cake,3,3.0,9.0
841,Sandwich,1,4.0,4.0
843,Cake,2,3.0,6.0
845,Juice,4,3.0,12.0
846,Salad,1,5.0,5.0
847,Cookie,4,1.0,4.0
849,Salad,3,5.0,15.0
850,Tea,5,1.5,7.5
851,Juice,4,3.0,12.0
853,Salad,5,5.0,25.0
854,Juice,3,3.0,9.0
855,Juice,4,3.0,12.0
856,Cake,1,3.0,3.0
857,Tea,4,1.5,6.0
858,Coffee,3,2.0,6.0
859,Juice,5,3.0,15.0
860,Smoothie,2,4.0,8.0
861,Coffee,4,2.0,8.0
862,Tea,5,1.5,7.5
864,Cake,1,3.0,3.0
865,Juice,3,3.0,9.0
866,Cake,1,3.0,3.0
867,Sandwich,1,4.0,4.0
868,Cookie,4,1.0,4.0
870,Cookie,2,1.0,2.0
871,Tea,5,1.5,7.5
872,Cake,2,3.0,6.0
873,Tea,1,1.5,1.5
875,Cookie,3,1.0,3.0
876,Coffee,5,2.0,10.0
878,Smoothie,2,4.0,8.0
879,Smoothie,5,4.0,20.0
882,Juice,5,3.0,15.0
883,Smoothie,2,4.0,8.0
885,Salad,5,5.0,25.0
886,Cake,2,3.0,6.0
888,Smoothie,5,4.0,20.0
889,Coffee,2,2.0,4.0
890,Salad,5,5.0,25.0
891,Sandwich,4,4.0,16.0
892,Tea,5,1.5,7.5
894,Sandwich,5,4.0,20.0
895,Cake,2,3.0,6.0
897,Salad,3,5.0,15.0
898,Juice,2,3.0,6.0
899,Juice,5,3.0,15.0
900,Cake,4,3.0,12.0
902,Coffee,5,2.0,10.0
905,Cake,1,3.0,3.0
906,Smoothie,5,4.0,20.0
907,Smoothie,3,4.0,12.0
908,Smoothie,5,4.0,20.0
909,Salad,1,5.0,5.0
910,Coffee,5,2.0,10.0
913,Salad,2,5.0,10.0
914,Salad,5,5.0,25.0
915,Cookie,1,1.0,1.0
916,Sandwich,3,4.0,12.0
917,Salad,2,5.0,10.0
920,Cake,3,3.0,9.0
921,Tea,1,1.5,1.5
922,Tea,1,1.5,1.5
924,Cake,5,3.0,15.0
925,Tea,1,1.5,1.5
926,Smoothie,2,4.0,8.0
927,Cookie,2,1.0,2.0
928,Coffee,1,2.0,2.0
930,Coffee,2,2.0,4.0
931,Juice,2,3.0,6.0
932,Sandwich,4,4.0,16.0
933,Cookie,1,1.0,1.0
934,Coffee,1,2.0,2.0
935,Smoothie,4,4.0,16.0
936,Coffee,5,2.0,10.0
937,Smoothie,1,4.0,4.0
938,Coffee,5,2.0,10.0
939,Juice,3,3.0,9.0
940,Sandwich,4,4.0,16.0
941,Juice,1,3.0,3.0
942,Sandwich,4,4.0,16.0
943,Sandwich,1,4.0,4.0
945,Tea,4,1.5,6.0
946,Juice,1,3.0,3.0
948,Tea,2,1.5,3.0
949,Coffee,2,2.0,4.0
950,Smoothie,1,4.0,4.0
951,Salad,2,5.0,10.0
952,Salad,2,5.0,10.0
953,Salad,5,5.0,25.0
955,Tea,5,1.5,7.5
956,Tea,5,1.5,7.5
957,Cookie,2,1.0,2.0
959,Smoothie,5,4.0,20.0
960,Juice,4,3.0,12.0
961,Sandwich,2,4.0,8.0
963,Juice,5,3.0,15.0
964,Tea,5,1.5,7.5
965,Salad,1,5.0,5.0
966,Cake,1,3.0,3.0
968,Sandwich,1,4.0,4.0
970,Sandwich,5,4.0,20.0
971,Tea,2,1.5,3.0
976,Coffee,5,2.0,10.0
977,Salad,2,5.0,10.0
979,Smoothie,4,4.0,16.0
980,Coffee,1,2.0,2.0
981,Smoothie,4,4.0,16.0
982,Tea,2,1.5,3.0
986,Tea,4,1.5,6.0
988,Sandwich,3,4.0,12.0
989,Salad,2,5.0,10.0
992,Juice,3,3.0,9.0
993,Coffee,5,2.0,10.0
994,Cookie,2,1.0,2.0
995,Juice,5,3.0,15.0
996,Coffee,2,2.0,4.0
997,Juice,3,3.0,9.0
1000,Salad,5,5.0,25.0
1001,Tea,2,1.5,3.0
1002,Tea,4,1.5,6.0
1003,Cookie,1,1.0,1.0
1004,Coffee,1,2.0,2.0
1005,Smoothie,1,4.0,4.0
1006,Tea,3,1.5,4.5
1007,Sandwich,4,4.0,16.0
1009,Salad,4,5.0,20.0
1010,Smoothie,1,4.0,4.0
1011,Coffee,1,2.0,2.0
1013,Sandwich,2,4.0,8.0
1014,Sandwich,4,4.0,16.0
1015,Sandwich,2,4.0,8.0
1016,Juice,1,3.0,3.0
1018,Coffee,3,2.0,6.0
1021,Coffee,1,2.0,2.0
1022,Tea,4,1.5,6.0
1023,Sandwich,5,4.0,20.0
1025,Salad,4,5.0,20.0
1026,Cake,3,3.0,9.0
1027,Cake,3,3.0,9.0
1029,Tea,4,1.5,6.0
1030,Sandwich,2,4.0,8.0
1031,Tea,2,1.5,3.0
1032,Cookie,4,1.0,4.0
1033,Cake,2,3.0,6.0
1034,Cookie,1,1.0,1.0
1035,Cake,3,3.0,9.0
1036,Cake,1,3.0,3.0
1037,Juice,1,3.0,3.0
1038,Cake,3,3.0,9.0
1039,Smoothie,1,4.0,4.0
1040,Cake,2,3.0,6.0
1041,Salad,3,5.0,15.0
1042,Sandwich,1,4.0,4.0
1043,Cake,5,3.0,15.0
1044,Salad,4,5.0,20.0
1046,Salad,4,5.0,20.0
1047,Sandwich,5,4.0,20.0
1048,Salad,4,5.0,20.0
1049,Salad,1,5.0,5.0
1052,Cake,3,3.0,9.0
1054,Tea,2,1.5,3.0
1057,Cake,1,3.0,3.0
1058,Cake,1,3.0,3.0
1059,Sandwich,2,4.0,8.0
1060,Salad,2,5.0,10.0
1061,Juice,2,3.0,6.0
1064,Tea,2,1.5,3.0
1066,Tea,4,1.5,6.0
1067,Coffee,3,2.0,6.0
1068,Juice,3,3.0,9.0
1069,Coffee,2,2.0,4.0
1070,Cake,2,3.0,6.0
1071,Salad,5,5.0,25.0
1072,Tea,3,1.5,4.5
1073,Cookie,1,1.0,1.0
1076,Salad,1,5.0,5.0
1079,Smoothie,2,4.0,8.0
1080,Sandwich,3,4.0,12.0
1081,Cookie,2,1.0,2.0
1082,Salad,4,5.0,20.0
1084,Cookie,5,1.0,5.0
1085,Cake,5,3.0,15.0
1086,Salad,1,5.0,5.0
1088,Sandwich,4,4.0,16.0
1089,Cake,4,3.0,12.0
1090,Cookie,3,1.0,3.0
1091,Tea,5,1.5,7.5
1092,Juice,5,3.0,15.0
1093,Cookie,2,1.0,2.0
1094,Salad,3,5.0,15.0
1095,Smoothie,3,4.0,12.0
1096,Cake,2,3.0,6.0
1097,Cake,2,3.0,6.0
1098,Smoothie,1,4.0,4.0
1100,Sandwich,5,4.0,20.0
1101,Tea,1,1.5,1.5
1102,Juice,2,3.0,6.0
1103,Juice,4,3.0,12.0
1104,Tea,5,1.5,7.5
1105,Salad,2,5.0,10.0
1106,Coffee,3,2.0,6.0
1108,Salad,3,5.0,15.0
1109,Tea,3,1.5,4.5
1110,Smoothie,3,4.0,12.0
1111,Juice,5,3.0,15.0
1113,Salad,5,5.0,25.0
1114,Smoothie,3,4.0,12.0
1115,Cake,3,3.0,9.0
1117,Juice,5,3.0,15.0
1118,Smoothie,3,4.0,12.0
